locale,town,longitude,latitude,title,price,square_metres,price_square_metres
lusaka west,lusaka,28.322817,-15.387526 ,yes,160000,900,177.7777778
musenga,mansa,28.8888,-11.1892,yes,25000,2500,10
chembe,mansa,28.8888,-11.1892,yes,6000,575,10.43478261
hospital,mazabuka,27.7491,-15.8613,yes,500000,1600,312.5
retro,mbala,31.3656,-8.8536,yes,22000,3600,6.111111111
kasama,mbala,31.3656,-8.8536,yes,30000,750,40
president,mbala,31.3656,-8.8536,yes,20000,1200,16.66666667
frontage,mkushi,29.3889,-13.6212,yes,1500000,30000,50
college,monze,27.4733,-16.2803,yes,10000,400,25
chisekesi,monze,27.4733,-16.2803,yes,65000,5265,12.34567901
mulumbwa,monze,27.4733,-16.2803,yes,5000,270,18.51851852
chikwanda,mpika,31.4513,-11.828,no,10000,3000,3.333333333
kalukanya,mufulira,28.241,-12.5503,yes,35000,1400,25
eastrise,chipata,32.6447,-13.6445,yes,30000,900,33.33333333
lusaka road,chipata,32.6447,-13.6445,yes,15000,625,24
hillview,chipata,32.6447,-13.6445,yes,30000,750,40
shimabala,chilanga,28.2754586,-15.5587509,yes,100000,10000,10
shimabala,chilanga,28.2754586,-15.5587509,yes,7000,3200,2.1875
mimosa,chilanga,28.2754586,-15.5587509,yes,250000,1395,179.2114695
new kasama,lusaka,28.322817,-15.387526 ,yes,560000,4046.86,138.3788913
roma,lusaka,28.322817,-15.387526 ,yes,3000000,4365,687.2852234
mean wood ,lusaka,28.322817,-15.387526 ,yes,300000,1234.9,242.9346506
